# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
24

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,FuselageGeom,0,RGIGINXZKO,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,36,17
# x,y,z,u,w
1.658152345369634517e-01, -2.580109270783754738e-01, -2.142662296735395877e-01, 1.199999999999999956e+00, 2.250000000000000000e+00
1.658152345369634517e-01, -1.978867368527044146e-01, -1.246732631472955988e-01, 1.199999999999999956e+00, 2.500000000000000000e+00
1.658152345369633962e-01, -1.082937703264604534e-01, -6.454907292162453958e-02, 1.199999999999999956e+00, 2.750000000000000000e+00
1.658152345369632852e-01, -4.188462442375326947e-17, -4.266845385731319468e-02, 1.199999999999999956e+00, 3.000000000000000000e+00
1.658152345369632852e-01, 1.082937703264603979e-01, -6.454907292162453958e-02, 1.199999999999999956e+00, 3.250000000000000000e+00
1.658152345369633685e-01, 1.978867368527043036e-01, -1.246732631472955988e-01, 1.199999999999999956e+00, 3.500000000000000000e+00
1.658152345369633962e-01, 2.580109270783754738e-01, -2.142662296735395877e-01, 1.199999999999999956e+00, 3.750000000000000000e+00
1.658152345369633962e-01, 2.798915461426867424e-01, -3.225600000000000134e-01, 1.199999999999999956e+00, 4.000000000000000000e+00
3.744475442594891734e-01, 4.457498381500184514e-01, -2.332800000000000151e-01, 1.399999999999999911e+00, 0.000000000000000000e+00
3.744475442594891734e-01, 4.108427787187332592e-01, -4.060313081276483715e-01, 1.399999999999999911e+00, 2.500000000000000000e-01
3.744475442594891179e-01, 3.151448056800040254e-01, -5.484248056800039572e-01, 1.399999999999999911e+00, 5.000000000000000000e-01
3.744475442594891734e-01, 1.727513081276483287e-01, -6.441227787187333576e-01, 1.399999999999999911e+00, 7.500000000000000000e-01
3.744475442594891734e-01, -3.197442310920451211e-17, -6.790298381500183833e-01, 1.399999999999999911e+00, 1.000000000000000000e+00
3.744475442594892289e-01, -1.727513081276483842e-01, -6.441227787187333576e-01, 1.399999999999999911e+00, 1.250000000000000000e+00
3.744475442594892289e-01, -3.151448056800040254e-01, -5.484248056800040683e-01, 1.399999999999999911e+00, 1.500000000000000000e+00
3.744475442594892289e-01, -4.108427787187332592e-01, -4.060313081276484826e-01, 1.399999999999999911e+00, 1.750000000000000000e+00
3.744475442594891734e-01, -4.457498381500183404e-01, -2.332800000000000429e-01, 1.399999999999999911e+00, 2.000000000000000000e+00
3.744475442594892289e-01, -4.108427787187332592e-01, -6.052869187235167259e-02, 1.399999999999999911e+00, 2.250000000000000000e+00
3.744475442594892289e-01, -3.151448056800040254e-01, 8.186480568000395475e-02, 1.399999999999999911e+00, 2.500000000000000000e+00
3.744475442594891734e-01, -1.727513081276483842e-01, 1.775627787187332995e-01, 1.399999999999999911e+00, 2.750000000000000000e+00
3.744475442594890069e-01, -4.712020247672244279e-17, 2.124698381500183531e-01, 1.399999999999999911e+00, 3.000000000000000000e+00
